,Active,Churned
EXPECTED_ROI_mean,-0.09682336285954977,-0.41952187225259896
EXPECTED_ROI_median,-0.05278323198,-0.35997443445
EXPECTED_ROI_std,0.1404783411451633,0.3336786545079795
ROI_STANDARD_DEVIATION_mean,0.27910777032355466,0.28426885358454623
ROI_STANDARD_DEVIATION_median,0.3179159958,0.2820566976
ROI_STANDARD_DEVIATION_std,0.20731360756426948,0.17339509441450357
SHARPE_RATIO_mean,-0.30510881332917694,-2.84949903925677
SHARPE_RATIO_median,-0.2597788671,-0.97123620735
SHARPE_RATIO_std,0.46970924529032776,3.8181822744691165
WIN_LOSS_RATIO_mean,0.5104067551963047,0.29616241341991334
WIN_LOSS_RATIO_median,0.428571,0.133333
WIN_LOSS_RATIO_std,0.4038494224743169,0.38495429947246723
MAX_TRADE_PROPORTION_mean,0.08015469895390392,0.24967900813234054
MAX_TRADE_PROPORTION_median,0.0691529956,0.11935261050000001
MAX_TRADE_PROPORTION_std,0.08440225918706909,0.23432813549759823
